16,1442.106328,1125.882234,1812.899175,[  8 105 158 202 252],[ 43  93 158 202 252],1125.882234,"[8, 105, 202, 252, 158]",3078.879426,"[15, 94, 153, 206, 266]",,,,,,0
17,1336.892281,1059.4047,1770.242705,[ 38 104 153 218 267],[ 26  65 163 213 272],1396.582642,"[42, 100, 207, 265, 148]",2505.038933,"[42, 94, 146, 215, 265]",,,,,,337.1779418
18,2055.824423,1695.675461,2586.752688,[  5 115 154 221 278],[  7 108 152 180 278],2129.368624,"[5, 115, 207, 264, 152]",3641.703889,"[54, 108, 165, 213, 283]",,,,,,433.6931631
19,1529.327109,1193.824612,2263.538641,[ 54  91 165 234 285],[ 30  93 169 189 272],1820.016925,"[24, 98, 232, 299, 166]",2104.209721,"[24, 118, 167, 232, 289]",,,,,,626.1923127
20,1390.994759,1037.181006,2094.789245,[ 41 123 175 233 302],[  5  94 161 239 292],1030.307421,"[41, 98, 233, 302, 175]",2272.078499,"[21, 116, 167, 233, 292]",,,,,,-6.873585232
21,1633.443193,1343.773291,2063.893573,[ 13  99 167 239 319],[ 16 108 134 242 312],1857.880262,"[13, 99, 241, 313, 134]",2077.917157,"[16, 97, 169, 239, 313]",,,,,,514.1069702
22,1753.450368,1577.736515,2105.16473,[ 23 120 183 262 315],[  3  74 169 262 315],1964.005822,"[0, 124, 169, 315, 204]",2807.083167,"[54, 124, 174, 238, 315]",,,,,,386.2693071
23,1334.766909,1197.163511,1752.360447,[ 22 103 184 242 325],[  3 130 184 247 325],1197.163511,"[22, 103, 242, 325, 184]",3235.561458,"[30, 121, 198, 270, 316]",,,,,,0
24,1505.483616,1323.900191,1910.912035,[ 31 122 177 260 320],[ 31 122 182 260 320],1323.900191,"[31, 122, 260, 320, 177]",2562.777236,"[30, 109, 177, 260, 320]",,,,,,0
25,1711.950212,1490.042869,1971.794471,[ 14 124 190 279 348],[ 14 110 155 280 348],1936.25181,"[14, 130, 256, 328, 151]",1963.349488,"[25, 138, 210, 260, 352]",,,,,,446.2089412
26,2166.19773,1753.952816,2962.376205,[ 66 137 158 293 342],[  5 130 159 282 342],1930.548796,"[66, 137, 293, 343, 158]",3135.597436,"[41, 139, 206, 285, 369]",,,,,,176.5959801
27,2043.606444,1786.425152,2519.634956,[ 53 131 225 292 358],[  8 131 214 238 316],2370.496259,"[53, 149, 207, 358, 238]",3478.219583,"[51, 114, 193, 269, 353]",,,,,,584.0711073
28,2020.999514,1873.403949,2264.913783,[ 36 134 200 278 368],[ 61 155 233 283 323],2382.514388,"[61, 119, 295, 389, 211]",3282.690552,"[66, 119, 220, 295, 389]",,,,,,509.1104386
